decompose,+
dispel,-
recruit,+
recompense,-
stateman,+
elect,+
neglect,+
publish,+
genuine,-
promote,+
principal,+
reject,+
formulate,+
intermittent,-
oppose,+
composure,-
congenial,-
alienate,+
perceive,+
crusade,+
compose,+
pension,-
addict,+
express,+
revise,+
repulse,-
deport,+
proponent,-
deviate,+
depose,-
ingenious,-
transmit,+
