crusade,+
formulate,+
impede,-
jury,+
capital,+
conjecture,-
repulse,-
intelligence,+
recede,+
prefecture,+
ally,-
secede,-
repel,-
intermediate,+
fatal,+
impart,+
effect,+
circumfence,+
infantry,+
manipulate,+
defame,-
decapitate,+
minister,+
remote,+
mince,+
intermittent,-
induct,-
conform,-
content,+
seduce,+
preside,-
courage,+
dispel,-
converse,+
congenial,-
remove,+
demote,-
affect,+
eligible,+
renounce,-
degenerate,+
facititious,-
