impart,+
trespass,-
peddle,+
dispel,-
ordinary,+
liable,-
commemorate,-
infantry,-
award,+
centennial,-
genuine,-
recede,-
repel,-
confectionery,-
eligible,-
object,+
sufficient,+
accommodate,+
deviate,+
imprison,+
renounce,-
confine,+
repulse,-
exit,+
seduce,-
formulate,+
remote,+
differentiate,+
decapitate,-
reduce,-
infant,-
renowned,+
defame,-
conform,+
alliance,+
demote,-
