excursion,+
initiate,+
intact,+
annals,-
accrue,-
equivocal,+
assemble,+
pastime,+
destitute,+
genuine,-
incessant,-
capsize,-
compel,+
concur,-
standoffish,+
secluded,+
warden,+
despiss,+
induct,-
precede,+
ward,+
prophet,-
indict,-
cordial,-
asteroid,-
generous,-
signify,+
superfluous,-
transit,+
recur,-
conserve,+
dispence,+
vacant,-
futile,-
preside,+
recollect,+
deviate,+
crucial,+
fertile,+
immemorial,+
capable,+
dismiss,+
crusade,+
reform,+
distress,+
perennial,+
captive,-
faculty,-
district,+
affluent,+
